year,Date,C58157
2021,44197,0.37
2021,44198,1.14
2021,44199,0.73
2021,44200,0.24
2021,44201,0.39
2021,44202,0.16
2021,44203,0.4
2021,44204,0.21
2021,44205,0.32
2021,44206,0.13
2021,44207,0.18
2021,44208,0.3
2021,44209,-0.05
2021,44210,-0.04
2021,44211,-0.08
2021,44212,0.17
2021,44213,0.12
2021,44214,0.18
2021,44215,0.26
2021,44216,0.23
2021,44217,0.15
2021,44218,0.32
2021,44219,0.37
2021,44220,0.19
2021,44221,0.18
2021,44222,0.23
2021,44223,0.3
2021,44224,0.17
2021,44225,0.33
2021,44226,0.44
2021,44227,0.93
2021,44228,0.42
2021,44229,0.45
2021,44230,0.54
2021,44231,0.45
2021,44232,0.77
2021,44233,1.11
2021,44234,0.99
2021,44235,0.36
2021,44236,0.55
2021,44237,0.28
2021,44238,0.51
2021,44239,0.75
2021,44240,1.5
2021,44241,1.49
2021,44242,0.83
2021,44243,0.51
2021,44244,1.93
2021,44245,1.64
2021,44246,1.39
2021,44247,1.18
2021,44248,1.49
2021,44249,0.51
2021,44250,1.05
2021,44251,1.2
2021,44252,0.91
2021,44253,0.71
2021,44254,1.77
2021,44255,1.73
2021,44256,1.16
2021,44257,1.11
2021,44258,1.41
2021,44259,1.36
2021,44260,1.23
2021,44261,1.14
2021,44262,1.45
2021,44263,2.08
2021,44264,2.21
2021,44265,2.32
2021,44266,2.61
2021,44267,2.24
2021,44268,2.27
2021,44269,1.73
2021,44270,0.95
2021,44271,0.97
2021,44272,1.29
2021,44273,2.33
2021,44274,2.86
2021,44275,1.74
2021,44276,2.04
2021,44277,2.65
2021,44278,2.36
2021,44279,2.27
2021,44280,2.47
2021,44281,2.89
2021,44282,1.5
2021,44283,1.96
2021,44284,1.7
2021,44285,1.82
2021,44286,0.9
2021,44287,0.52
2021,44288,1.57
2021,44289,1.84
2021,44290,0.96
2021,44291,0.88
2021,44292,1.71
2021,44293,2.4
2021,44294,1.14
2021,44295,1.93
2021,44296,1.96
2021,44297,3.13
2021,44298,3.7
2021,44299,1.56
2021,44300,2.46
2021,44301,2.74
2021,44302,3.11
2021,44303,4.15
2021,44304,3.65
2021,44305,3.41
2021,44306,3.91
2021,44307,3.79
2021,44308,3.21
2021,44309,3.53
2021,44310,4.16
2021,44311,2.01
2021,44312,1.95
2021,44313,3.1
2021,44314,3.59
2021,44315,2.23
2021,44316,2.49
2021,44317,2.44
2021,44318,3.93
2021,44319,3.83
2021,44320,3.26
2021,44321,2.25
2021,44322,3.11
2021,44323,2.53
2021,44324,3.23
2021,44325,4.18
2021,44326,4.13
2021,44327,5.31
2021,44328,3.39
2021,44329,3.94
2021,44330,4.25
2021,44331,5.21
2021,44332,4.12
2021,44333,4.51
2021,44334,4.55
2021,44335,4.45
2021,44336,1.96
2021,44337,3.85
2021,44338,4.29
2021,44339,2.27
2021,44340,2.83
2021,44341,3.62
2021,44342,3.53
2021,44343,3.65
2021,44344,3.71
2021,44345,2.37
2021,44346,2.92
2021,44347,3.72
2021,44348,3.82
2021,44349,4.41
2021,44350,4.13
2021,44351,5.32
2021,44352,1.41
2021,44353,3.54
2021,44354,2.22
2021,44355,1.61
2021,44356,3.36
2021,44357,3.87
2021,44358,4.37
2021,44359,4.54
2021,44360,3.88
2021,44361,4.53
2021,44362,5.05
2021,44363,5.05
2021,44364,5.81
2021,44365,6.51
2021,44366,3.87
2021,44367,3.67
2021,44368,2.67
2021,44369,4.99
2021,44370,5.4
2021,44371,3.15
2021,44372,2.72
2021,44373,2.64
2021,44374,2.3
2021,44375,4.53
2021,44376,4.95
2021,44377,1.9
2021,44378,3.79
2021,44379,4.66
2021,44380,4.4
2021,44381,4.51
2021,44382,4.14
2021,44383,3.77
2021,44384,3
2021,44385,4.45
2021,44386,4.3
2021,44387,3.76
2021,44388,4.3
2021,44389,4.85
2021,44390,6.37
2021,44391,4.51
2021,44392,4.18
2021,44393,1.52
2021,44394,5.01
2021,44395,6
2021,44396,7.6
2021,44397,3.6
2021,44398,1.35
2021,44399,3.12
2021,44400,4.19
2021,44401,5.64
2021,44402,4.88
2021,44403,3.25
2021,44404,3.85
2021,44405,4.63
2021,44406,4.8
2021,44407,4.01
2021,44408,4.19
2021,44409,3.13
2021,44410,4.85
2021,44411,5.13
2021,44412,3.58
2021,44413,3.09
2021,44414,3.92
2021,44415,4.58
2021,44416,4.62
2021,44417,5.16
2021,44418,5.95
2021,44419,5.89
2021,44420,6.43
2021,44421,5.85
2021,44422,4.82
2021,44423,3.77
