year,Date,C58157,C58157_0.5naopk
2021,44297,,
2021,44298,,
2021,44299,,
2021,44300,,
2021,44301,,
2021,44302,,
2021,44303,,
2021,44304,,
2021,44305,,
2021,44306,,
2021,44307,,
2021,44308,,
2021,44309,,
2021,44310,,
2021,44311,,
2021,44312,,
2021,44313,,
2021,44314,,
2021,44315,,
2021,44316,,
2021,44317,,
2021,44318,,
2021,44319,,
2021,44320,,
2021,44321,,
2021,44322,,
2021,44323,,
2021,44324,,
2021,44325,,
2021,44326,,
2021,44327,,
2021,44328,,
2021,44329,,
2021,44330,,
2021,44331,,
2021,44332,,
2021,44333,,
2021,44334,,
2021,44335,,
2021,44336,,
2021,44337,,
2021,44338,,
2021,44339,,
2021,44340,,
2021,44341,,
2021,44342,,
2021,44343,,
2021,44344,,
2021,44345,,
2021,44346,,
2021,44347,,
2021,44348,0,
2021,44349,0,
2021,44350,0,
2021,44351,7.7,
2021,44352,0,
2021,44353,5.24,
2021,44354,7.18,
2021,44355,5.63,
2021,44356,5.55,
2021,44357,5.91,
2021,44358,5.23,
2021,44359,5.57,
2021,44360,5.16,
2021,44361,4.78,
2021,44362,4.75,
2021,44363,4.48,
2021,44364,4.83,
2021,44365,0,
2021,44366,0,
2021,44367,0,
2021,44368,0,
2021,44369,0,
2021,44370,0,
2021,44371,0,
2021,44372,0,
2021,44373,0,
2021,44374,0,
2021,44375,0,
2021,44376,0,
2021,44377,0,
2021,44378,0,
2021,44379,0,
2021,44380,0,
2021,44381,0,
2021,44382,0,
2021,44383,0,
2021,44384,0,
2021,44385,0,
2021,44386,0,
2021,44387,0,
2021,44388,0,
2021,44389,0,
2021,44390,0,
2021,44391,0,
2021,44392,0,
2021,44393,0,
2021,44394,0,
2021,44395,0,
2021,44396,0,
2021,44397,0,
2021,44398,0,
2021,44399,0,
2021,44400,0,
2021,44401,0,
2021,44402,0,
2021,44403,0,
2021,44404,0,
2021,44405,0,
2021,44406,0,
2021,44407,0,
2021,44408,0,
2021,44409,0,
2021,44410,0,
2021,44411,0,
2021,44412,0,
2021,44413,0,
2021,44414,0,
2021,44415,0,
2021,44416,0,
2021,44417,0,
2021,44418,0,
2021,44419,0,
2021,44420,0,
2021,44421,0,
2021,44422,0,
2021,44423,0,
2021,44424,0,
2021,44425,0,
2021,44426,0,
2021,44427,0,
2021,44428,0,
2021,44429,0,
2021,44430,0,
2021,44431,0,
2021,44432,0,
2021,44433,0,
2021,44434,0,
2021,44435,0,
2021,44436,0,
2021,44437,0,
2021,44438,0,
2021,44439,0,
2021,44440,0,
2021,44441,0,
2021,44442,0,
2021,44443,0,
2021,44444,0,
2021,44445,0,
2021,44446,0,
2021,44447,0,
2021,44448,0,
2021,44449,0,
2021,44450,0,
2021,44451,0,
2021,44452,0,
2021,44453,0,
2021,44454,0,
2021,44455,0,
2021,44456,0,
2021,44457,0,
2021,44458,0,
2021,44459,0,
2021,44460,0,
2021,44461,0,
2021,44462,0,
2021,44463,0,
2021,44464,0,
2021,44465,0,
2021,44466,0,
2021,44467,0,
2021,44468,0,
2021,44469,0,
2022,44652,,
2022,44653,,
2022,44654,,
2022,44655,,
2022,44656,,
2022,44657,,
2022,44658,,
2022,44659,,
2022,44660,,
2022,44661,,
2022,44662,,
2022,44663,,
2022,44664,,
2022,44665,,
2022,44666,,
2022,44667,,
2022,44668,,
2022,44669,,
2022,44670,,
2022,44671,,
2022,44672,,
2022,44673,,
2022,44674,,
2022,44675,,
2022,44676,,
2022,44677,,
2022,44678,,
2022,44679,,
2022,44680,,
2022,44681,,
2022,44682,,
2022,44683,,
2022,44684,,
2022,44685,,
2022,44686,,
2022,44687,,
2022,44688,,
2022,44689,,
2022,44690,,
2022,44691,,
2022,44692,3.27,
2022,44693,4.18,
2022,44694,4.84,
2022,44695,2.96,
2022,44696,4.63,
2022,44697,2.71,
2022,44698,4.19,
2022,44699,3.51,
2022,44700,,
2022,44701,,
2022,44702,,
2022,44703,,
2022,44704,3.92,
2022,44705,,
2022,44706,,
2022,44707,,
2022,44708,,
2022,44709,7.93,
2022,44710,13.75,
2022,44711,5.2,
2022,44712,,
2022,44713,,
2022,44714,,
2022,44715,,
2022,44716,,
2022,44717,,
2022,44718,,
2022,44719,,
2022,44720,,
2022,44721,,
2022,44722,,
2022,44723,,
2022,44724,,
2022,44725,,
2022,44726,,
2022,44727,,
2022,44728,,
2022,44729,,
2022,44730,,
2022,44731,,
2022,44732,14.96,
2022,44733,,
2022,44734,,
2022,44735,,
2022,44736,,
2022,44737,,
2022,44738,,
2022,44739,,
2022,44740,,
2022,44741,,
2022,44742,,
2022,44743,,
2022,44744,,
2022,44745,,
2022,44746,,
2022,44747,,
2022,44748,,
2022,44749,,
2022,44750,16.2,
2022,44751,,
2022,44752,,
2022,44753,,
2022,44754,,
2022,44755,18.2,
2022,44756,,
2022,44757,,
2022,44758,,
2022,44759,,
2022,44760,8.8,
2022,44761,,
2022,44762,,
2022,44763,,
2022,44764,,
2022,44765,,
2022,44766,,
2022,44767,16.1,
2022,44768,,
2022,44769,,
2022,44770,,
2022,44771,11.2,
2022,44772,,
2022,44773,,
2022,44774,,
2022,44775,10.7,
2022,44776,,
2022,44777,,
2022,44778,20.6,
2022,44779,,
2022,44780,,
2022,44781,,
2022,44782,20.8,
2022,44783,,
2022,44784,,
2022,44785,26.7,
2022,44786,,
2022,44787,,
2022,44788,24.5,
2022,44789,,
2022,44790,,
2022,44791,,
2022,44792,,
2022,44793,,
2022,44794,,
2022,44795,16.4,
2022,44796,,
2022,44797,,
2022,44798,,
2022,44799,20.53,
2022,44800,,
2022,44801,,
2022,44802,,
2022,44803,16.49,
2022,44804,,
2022,44805,,
2022,44806,16.39,
2022,44807,,
2022,44808,,
2022,44809,,
2022,44810,,
2022,44811,,
2022,44812,,
2022,44813,,
2022,44814,,
2022,44815,,
2022,44816,,
2022,44817,,
2022,44818,,
2022,44819,,
2022,44820,,
2022,44821,,
2022,44822,,
2022,44823,,
2022,44824,,
2022,44825,,
2022,44826,,
2022,44827,,
2022,44828,,
2022,44829,,
2022,44830,,
2022,44831,,
2022,44832,,
2022,44833,,
2022,44834,,
2022,44835,,
2022,44836,,
2022,44837,,
2022,44838,,
2022,44839,,
2022,44840,,
2022,44841,,
2022,44842,,
2022,44843,,
2022,44844,,
2022,44845,,
2022,44846,,
2022,44847,,
2022,44848,,
2022,44849,,
2023,45017,,
2023,45018,,
2023,45019,,
2023,45020,,
2023,45021,,
2023,45022,,
2023,45023,,
2023,45024,,
2023,45025,,
2023,45026,,
2023,45027,,
2023,45028,,
2023,45029,,
2023,45030,,
2023,45031,,
2023,45032,,
2023,45033,,
2023,45034,,
2023,45035,,
2023,45036,,
2023,45037,,
2023,45038,,
2023,45039,,
2023,45040,,
2023,45041,,
2023,45042,,
2023,45043,,
2023,45044,,
2023,45045,,
2023,45046,,
2023,45047,,
2023,45048,,
2023,45049,,
2023,45050,,
2023,45051,,
2023,45052,,
2023,45053,,
2023,45054,,
2023,45055,,
2023,45056,,
2023,45057,,
2023,45058,,
2023,45059,,
2023,45060,,
2023,45061,,
2023,45062,,
2023,45063,,
2023,45064,,
2023,45065,,
2023,45066,,
2023,45067,,
2023,45068,,
2023,45069,,
2023,45070,,
2023,45071,,
2023,45072,,
2023,45073,,
2023,45074,,
2023,45075,,
2023,45076,,
2023,45077,,
2023,45078,,
2023,45079,,
2023,45080,,
2023,45081,,
2023,45082,,
2023,45083,5,5
2023,45084,,
2023,45085,11,11
2023,45086,6,6
2023,45087,6,6
2023,45088,,
2023,45089,11,11
2023,45090,6,6
2023,45091,6,6
2023,45092,6,6
2023,45093,6,6
2023,45094,8,8
2023,45095,4,4
2023,45096,6,6
2023,45097,,
2023,45098,,
2023,45099,,
2023,45100,,
2023,45101,,
2023,45102,,
2023,45103,,
2023,45104,,
2023,45105,,
2023,45106,,
2023,45107,,
2023,45108,,
2023,45109,,
2023,45110,,
2023,45111,,
2023,45112,,
2023,45113,,
2023,45114,14,7
2023,45115,,
2023,45116,,
2023,45117,,
2023,45118,,
2023,45119,,
2023,45120,,
2023,45121,21,10.5
2023,45122,,
2023,45123,,
2023,45124,,
2023,45125,,
2023,45126,,
2023,45127,,
2023,45128,,
2023,45129,,
2023,45130,,
2023,45131,,
2023,45132,,
2023,45133,,
2023,45134,,
2023,45135,,
2023,45136,,
2023,45137,,
2023,45138,,
2023,45139,,
2023,45140,,
2023,45141,,
2023,45142,,
2023,45143,,
2023,45144,,
2023,45145,,
2023,45146,,
2023,45147,,
2023,45148,,
2023,45149,,
2023,45150,,
2023,45151,,
2023,45152,,
2023,45153,,
2023,45154,,
2023,45155,,
2023,45156,,
2023,45157,,
2023,45158,,
2023,45159,12,6
2023,45160,,
2023,45161,,
2023,45162,,
2023,45163,,
2023,45164,,
2023,45165,,
2023,45166,,
2023,45167,,
2023,45168,,
2023,45169,,
2023,45170,,
2023,45171,,
2023,45172,,
2023,45173,,
2023,45174,,
2023,45175,,
2023,45176,,
2023,45177,,
