year,Date,C58157
2021,44287,
2021,44288,
2021,44289,
2021,44290,
2021,44291,
2021,44292,
2021,44293,
2021,44294,
2021,44295,
2021,44296,
2021,44297,
2021,44298,
2021,44299,
2021,44300,
2021,44301,
2021,44302,
2021,44303,
2021,44304,
2021,44305,
2021,44306,
2021,44307,
2021,44308,
2021,44309,
2021,44310,
2021,44311,
2021,44312,
2021,44313,
2021,44314,
2021,44315,
2021,44316,
2021,44317,0
2021,44318,0
2021,44319,0
2021,44320,6.85
2021,44321,2.17
2021,44322,1.66
2021,44323,0.05
2021,44324,0.44
2021,44325,0.08
2021,44326,0.66
2021,44327,0.83
2021,44328,0.09
2021,44329,0
2021,44330,4.32
2021,44331,2.94
2021,44332,2.13
2021,44333,3.53
2021,44334,17.71
2021,44335,3.2
2021,44336,0
2021,44337,2.04
2021,44338,5.76
2021,44339,2.89
2021,44340,8.48
2021,44341,12.32
2021,44342,0.07
2021,44343,0
2021,44344,0
2021,44345,0.01
2021,44346,0
2021,44347,0
2021,44348,0
2021,44349,0.2
2021,44350,0.8
2021,44351,6.6
2021,44352,0.4
2021,44353,0
2021,44354,0
2021,44355,0
2021,44356,0
2021,44357,0
2021,44358,0
2021,44359,0
2021,44360,0
2021,44361,0
2021,44362,0
2021,44363,0
2021,44364,0
2021,44365,12
2021,44366,1.2
2021,44367,2.8
2021,44368,21
2021,44369,6.2
2021,44370,0.8
2021,44371,0
2021,44372,1.2
2021,44373,0.2
2021,44374,0
2021,44375,0
2021,44376,0
2021,44377,27
2021,44378,1
2021,44379,0
2021,44380,17.6
2021,44381,8.8
2021,44382,4
2021,44383,3.6
2021,44384,0.2
2021,44385,0
2021,44386,0
2021,44387,12.6
2021,44388,0.2
2021,44389,0
2021,44390,5.4
2021,44391,1.6
2021,44392,73.2
2021,44393,0
2021,44394,0
2021,44395,0
2021,44396,0
2021,44397,0
2021,44398,0
2021,44399,0
2021,44400,0
2021,44401,6.8
2021,44402,5.6
2021,44403,6.2
2021,44404,4.4
2021,44405,1.8
2021,44406,0.2
2021,44407,2
2021,44408,2
2021,44409,10.4
2021,44410,7.2
2021,44411,6.4
2021,44412,1.2
2021,44413,0
2021,44414,5.6
2021,44415,14
2021,44416,1.6
2021,44417,3
2021,44418,10.4
2021,44419,0.2
2021,44420,0
2021,44421,0
2021,44422,0
