Date,0_30(grav%),30_60(grav%),0_5(grav%),Sensornr,Naam,year,info,60_90(grav%)
44354,21.73,,18.6,C58157,,2021,PLV Herent witloof opkomst,
44362,,,18.18,C58157,,2021,PLV Herent witloof opkomst,
44370,24.32,,23.23,C58157,,2021,PLV Herent witloof opkomst,
44384,22.78,22.33,,C58157,,2021,PLV Herent witloof opkomst,
44396,21.64,20.45,,C58157,,2021,PLV Herent witloof opkomst,
44411,22.41,19.57,,C58157,,2021,PLV Herent witloof opkomst,
44424,19.59,19.5,,C58157,,2021,PLV Herent witloof opkomst,
44442,19.5,20.14,,C58157,,2021,PLV Herent witloof opkomst,
44452,18.87,18.57,,C58157,,2021,PLV Herent witloof opkomst,
44700,,,21.7,C58157,Herent 4a,2022,,
44700,,,25.33,C58157,Herent 4b,2022,,
44700,,,25.7,C58157,Herent 4c,2022,,
44700,,,23,C58157,Herent 4d,2022,,
44705,22.27,,22.57,C58157,Herent 4a,2022,,
44705,22.71,,22.76,C58157,Herent 4b,2022,,
44705,23.13,,22.44,C58157,Herent 4c,2022,,
44705,24.53,,23.19,C58157,Herent 4d,2022,,
44734,19.79,19.9,,C58157,Herent 4a,2022,,
44734,19.31,19.32,,C58157,Herent 4b,2022,,
44734,20.95,20.19,,C58157,Herent 4c,2022,,
44734,21.11,19.59,,C58157,Herent 4d,2022,,
44754,14.92,17.33,,C58157,Herent 4a,2022,,
44754,15.46,16.74,,C58157,Herent 4b,2022,,
44754,15.22,16.63,,C58157,Herent 4c,2022,,
44754,19.4,19.13,,C58157,Herent 4d,2022,,
44761,15.99,16.38,,C58157,Herent 4a,2022,,
44761,15.16,15.36,,C58157,Herent 4b,2022,,
44761,18.07,16.45,,C58157,Herent 4c,2022,,
44761,18.44,17.81,,C58157,Herent 4d,2022,,
44775,13.2,12.16,,C58157,Herent 4a,2022,,
44775,11.01,10.99,,C58157,Herent 4b,2022,,
44775,14.29,13.6,,C58157,Herent 4c,2022,,
44775,16.23,12.55,,C58157,Herent 4d,2022,,
44791,20.63,19.72,,C58157,Herent 4a,2022,,
44791,21.26,18.3,,C58157,Herent 4b,2022,,
44791,21.31,17.99,,C58157,Herent 4c,2022,,
44791,22.01,18.82,,C58157,Herent 4d,2022,,
44806,21.39,20.54,,C58157,Herent 4a,2022,,
44806,23.46,19.62,,C58157,Herent 4b,2022,,
44806,24.27,21.51,,C58157,Herent 4c,2022,,
44806,24.33,21.36,,C58157,Herent 4d,2022,,
44819,22.29,20.21,,C58157,Herent 4a,2022,,
44819,22.45,20.38,,C58157,Herent 4b,2022,,
44819,22.45,20.77,,C58157,Herent 4c,2022,,
44819,23.16,20.9,,C58157,Herent 4d,2022,,
45083,18.44596263,,,C58157,Herent 3a,2023,,
45083,18.17702763,,,C58157,Herent 3b,2023,,
45083,18.17747577,,,C58157,Herent 3c,2023,,
45083,17.48029013,,,C58157,Herent 3d,2023,,
45083,17.59452124,,,C58157,Herent 3e,2023,,
45103,20.8,21.11,,C58157,Herent witloof - plot 3a,2023,,
45103,20.15,20.8,,C58157,Herent witloof - plot 3d,2023,,
45103,20.71,20.83,,C58157,Herent witloof - plot 3c,2023,,
45103,21.55,20.66,,C58157,Herent witloof - plot 3b,2023,,
45103,20.74,20.54,,C58157,Herent witloof - plot 3e,2023,,
45125,18.13909774,18.39910086,,C58157,Herent 3a,2023,,
45125,17.40555069,18.70849774,,C58157,Herent 3b,2023,,
45125,17.52911225,18.44153734,,C58157,Herent 3c,2023,,
45125,16.34361793,18.27927871,,C58157,Herent 3d,2023,,
45125,17.32085487,18.43002886,,C58157,Herent 3e,2023,,
45148,21.75819,22.32416,,C58157,Herent witloof - plot 3e,2023,,
45148,22.33912,22.35409,,C58157,Herent witloof - plot 3d,2023,,
45148,25.23482,22.15979,,C58157,Herent witloof - plot 3a,2023,,
45148,21.98097,22.12995,,C58157,Herent witloof - plot 3b,2023,,
45148,22.48898,21.10936,,C58157,Herent witloof - plot 3c,2023,,
45169,22.4081791,20.74105422,,C58157,Herent 3a,2023,,
45169,22.03995557,20.07051668,,C58157,Herent 3b,2023,,
45169,22.24900129,19.99112689,,C58157,Herent 3c,2023,,
45169,21.99029438,19.95664273,,C58157,Herent 3d,2023,,
45169,22.65778253,20.06290965,,C58157,Herent 3e,2023,,
